business_name,Website,Email_Primary,Phone_Validated,Last_Updated,phone,Email_Source,email,Phone_Primary,email_tier,Email_Confidence,website,lead_score,Phone_Source,Doctor_Name,validation_signals,source_query,email_role
"Air Conditioning, Plumbing & Heating Service in Goodyear, AZ | 24/7 Availability | A Quality HVAC and Plumbing Services LLC",https://aqualityhvac.org/,,True,2026-01-24T18:21:59.102259,623-853-1482,,,(623) 288-0998,,0,https://aqualityhvac.org/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Family owned,none
Air Conditioning Service - AirZona HVAC Inc.,https://airzonahvac.com/,office@airzonahvac.com,True,2026-01-24T18:22:32.817337,623-295-1911,Tier 2 (Strong Generic),office@airzonahvac.com,(209) 558-5280,3,70,https://airzonahvac.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 3, Valid Phone",HVAC Arizona Family owned,generic
HVAC Companies in Arizona | One Hour Heating & Air Conditioning,https://www.onehourheatandair.com/locations/arizona/,,True,2026-01-24T18:22:50.217670,(520) 775-3768,,,(800) 893-3523,,0,https://www.onehourheatandair.com/locations/arizona/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Family owned,none
Bleuwave HVAC | Phoenix’s Top-Rated Heating & Cooling Services,https://bleuwaveacrepair.com/,,True,2026-01-24T18:23:22.597425,(480) 863-5855,,,(212) 100-6110,,0,https://bleuwaveacrepair.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Family owned,none
"Delta Home Services – AZ's HVAC, Plumbing & Electrical Experts",https://deltahomeservices.com/,,True,2026-01-24T18:24:13.861718,(623) 240-9892,,,(241) 717-6891,,0,https://deltahomeservices.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Arizona site:.com,none
HVAC & Refrigeration Contractor Serving Phoenix AZ | AccuTemp Refrigeration,https://accutempaz.com/,service@accutempaz.com,True,2026-01-24T18:24:50.391665,602-957-3745,Tier 3 (Operational),service@accutempaz.com,(345) 008-4800,3,90,https://accutempaz.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 3, Valid Phone, Address/Map",HVAC Arizona site:.com,operational
Air Care: Mesa's Top-Rated HVAC & Plumbing Company,https://aircareaz.com/,info@aircareaz.com,True,2026-01-24T18:25:29.428184,(480) 238 2273,Tier 2 (Strong Generic),info@aircareaz.com,(467) 491-3372,2,70,https://aircareaz.com/,90,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone",HVAC Arizona site:.com,generic
"AZ Perfect Comfort Heating & Cooling | Phoenix, AZ",https://www.azperfectcomfort.com/,,True,2026-01-24T18:26:18.524543,602-789-3000,,,(977) 805-3044,,0,https://www.azperfectcomfort.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona site:.com,none
"HVAC, Plumbing & Electrical Services in Phoenix Metro | ACE",https://acehomeaz.com/,info@acehomeaz.com,True,2026-01-24T18:26:53.377270,(602) 536-4475,Tier 2 (Strong Generic),info@acehomeaz.com,(602) 536-4475,2,90,https://acehomeaz.com/,90,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone",HVAC Arizona site:.com,generic
HVAC Company in Phoenix AZ | Adams Refrigeration,https://adamsrefrig.com/,ronald.lawrence@adamsrefrig.com,True,2026-01-24T18:27:15.953403,(602) 269-6447,Tier 1 (Decision Maker),support@adamsrefrig.com,(512) 825-0777,1,80,https://adamsrefrig.com/,100,Website Direct,Ronald Lawrence,"Real Website, Keywords, Contact Page, Email Tier 1, Valid Phone",HVAC Arizona Call us,owner
"Parker & Sons – Air Conditioning Phoenix - HVAC, Plumbing & Electrical",https://www.parkerandsons.com/,,True,2026-01-24T18:27:35.737858,(602) 344-9027,,,(250) 785-0802,,0,https://www.parkerandsons.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Call us,none
